Nome,Type,Tipo de dano,Accuracy,Power,PP,Prioridade,Descrição p,Descrição c,Chance de efeito,Efeito,Chance de Crit,Drain,Flinch,Healing,Min attacks,Max attacks,Min Turns,Max Turns,Chance stat,Mudanca de stat,Qnt de Mudança de stat
pound,normal,physical,100.0,40.0,35.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
karate-chop,fighting,physical,100.0,50.0,25.0,0,Has an increased chance for a critical hit.,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,,none,1,0,0,0,,,,,0,[''],[0]
double-slap,normal,physical,85.0,15.0,10.0,0,Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,none,0,0,0,0,2.0,5.0,,,0,[''],[0]
comet-punch,normal,physical,85.0,18.0,15.0,0,Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,none,0,0,0,0,2.0,5.0,,,0,[''],[0]
mega-punch,normal,physical,85.0,80.0,20.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
pay-day,normal,physical,100.0,40.0,20.0,0,Scatters money on the ground worth five times the user’s level.,"Inflicts regular damage.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used.",,none,0,0,0,0,,,,,0,[''],[0]
fire-punch,fire,physical,100.0,75.0,15.0,0,Has a $effect_chance% chance to burn the target.,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10.0,burn,0,0,0,0,,,,,0,[''],[0]
ice-punch,ice,physical,100.0,75.0,15.0,0,Has a $effect_chance% chance to freeze the target.,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,10.0,freeze,0,0,0,0,,,,,0,[''],[0]
thunder-punch,electric,physical,100.0,75.0,15.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,10.0,paralysis,0,0,0,0,,,,,0,[''],[0]
scratch,normal,physical,100.0,40.0,35.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
vice-grip,normal,physical,100.0,55.0,30.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
guillotine,normal,physical,30.0,,5.0,0,Causes a one-hit KO.,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,none,0,0,0,0,,,,,0,[''],[0]
razor-wind,normal,special,100.0,80.0,10.0,0,Requires a turn to charge before attacking.,"Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",,none,1,0,0,0,,,,,0,[''],[0]
swords-dance,normal,status,,,20.0,0,Raises the user’s Attack by two stages.,Raises the user’s Attack by two stages.,,none,0,0,0,0,,,,,0,['attack'],[2]
cut,normal,physical,95.0,50.0,30.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
gust,flying,special,100.0,40.0,35.0,0,Inflicts regular damage and can hit Pokémon in the air.,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",,none,0,0,0,0,,,,,0,[''],[0]
wing-attack,flying,physical,100.0,60.0,35.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
whirlwind,normal,status,,,20.0,-6,Immediately ends wild battles.  Forces trainers to switch Pokémon.,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",,none,0,0,0,0,,,,,0,[''],[0]
fly,flying,physical,95.0,90.0,15.0,0,"User flies high into the air, dodging all attacks, and hits next turn.","Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",,none,0,0,0,0,,,,,0,[''],[0]
